,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
235,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),Dior Deposits (Deluxe),Guapdad 4000,"['Guapdad 4000', 'Chance the Rapper', 'Charlie Wilson']",2019-12-20,203669,33,0.383,0.583,0.665,0.145,112.842,0.927
236,IM COMING OVER THERE (feat. Guapdad 4000),BEFORE SHIT GOT WEIRD,The Cool Kids,"['The Cool Kids', 'Guapdad 4000']",2022-03-03,243500,27,0.0258,0.879,0.811,0.084,143.985,0.655
237,Greedy,"Platinum Falcon Tape, Vol. 1",Guapdad 4000,['Guapdad 4000'],2020-04-24,157563,31,0.0449,0.864,0.535,0.0527,128.02,0.825
238,"Link Up (feat. Kent Jamz, Bas, Guapdad 4000, J.I.D, Ari Lennox & BJ The Chicago Kid)",Harlan & Alondra (Deluxe),Buddy,"['Buddy', 'Kent Jamz', 'Bas']",2019-02-08,190466,30,0.143,0.766,0.855,0.108,112.003,0.227
239,Money,Money,Guapdad 4000,"['Guapdad 4000', 'Drew Banga']",2021-12-02,160399,27,0.0368,0.857,0.857,0.314,97.231,0.861
240,I Need Bands,I Need Bands,Guapdad 4000,['Guapdad 4000'],2022-01-21,169045,27,0.00829,0.851,0.637,0.0902,92.522,0.386
241,Catching Bodies,1176,Guapdad 4000,"['Guapdad 4000', '!llmind']",2021-03-19,168421,24,0.00986,0.967,0.528,0.17,113.982,0.178
242,Orgasm Full Of Pain (feat. Deante Hitchcock),Orgasm Full Of Pain (feat. Deante Hitchcock),Guapdad 4000,"['Guapdad 4000', '""Deante Hitchcock""']",2020-07-24,216973,26,0.106,0.674,0.572,0.104,76.996,0.667
243,The Weekend,The Weekend,88rising,"['88rising', 'BIBI']",2021-10-14,167661,69,0.062,0.784,0.521,0.0995,101.491,0.817
244,LAW (Prod. Czaer),Street Man Fighter Original Vol.3 (Mission by Rank),Various Artists,"['Yoon Mirae', 'BIBI']",2022-09-06,189373,71,0.00857,0.756,0.9,0.237,128.054,0.55
245,Best Lover,Head In The Clouds Forever,88rising,"['88rising', 'BIBI']",2022-04-16,152910,66,0.268,0.74,0.663,0.121,82.004,0.519
